City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Chuy,UY,2021-11-03 21:26:48,-33.6971,-53.4616,65.1,97,100,13.27
68,Waitati,NZ,2021-11-03 21:26:49,-45.75,170.5667,53.8,55,0,12.57
69,Cherskiy,RU,2021-11-03 21:26:49,68.75,161.3,-18.87,98,85,6.49
70,Saint George,US,2021-11-03 21:26:50,37.1041,-113.5841,77.47,30,1,1.99
71,Montepuez,MZ,2021-11-03 21:26:50,-13.1256,38.9997,72.63,77,6,8.61
72,Codrington,AU,2021-11-03 21:26:50,-38.2667,141.9667,55.09,85,16,7.38
73,San Pedro De Macoris,DO,2021-11-03 21:26:51,18.4616,-69.2972,83.01,71,87,6.31
74,Husavik,IS,2021-11-03 21:26:51,66.0449,-17.3389,42.71,77,88,18.97
75,Georgetown,MY,2021-11-03 21:26:52,5.4112,100.3354,77.95,92,20,1.01
76,Kirovskiy,RU,2021-11-03 21:26:52,45.0917,133.5136,41.92,78,100,4.45
77,Kinablangan,PH,2021-11-03 21:26:52,7.6947,126.5503,77.81,86,35,3.53
78,Saldanha,ZA,2021-11-03 21:26:53,-33.0117,17.9442,59.05,85,5,7.2
79,Hobart,AU,2021-11-03 21:26:53,-42.8794,147.3294,59.11,85,20,1.01
80,Baruun-Urt,MN,2021-11-03 21:26:54,46.6806,113.2792,30.09,66,5,8.63
81,Weligama,LK,2021-11-03 21:23:59,5.9667,80.4167,78.13,87,100,8.72
82,Leningradskiy,RU,2021-11-03 21:26:54,69.3833,178.4167,-8.79,91,31,6.55
83,Olafsvik,IS,2021-11-03 21:26:55,64.8945,-23.7142,42.19,81,99,21.65
84,Guanhaes,BR,2021-11-03 21:22:46,-18.775,-42.9325,71.8,77,86,0.04
85,Cayenne,GF,2021-11-03 21:26:55,4.9333,-52.3333,82.44,80,0,4.0
86,Cotonou,BJ,2021-11-03 21:26:56,6.3654,2.4183,82.38,78,20,9.22
87,Atambua,ID,2021-11-03 21:26:56,-9.1061,124.8925,75.0,88,84,4.34
88,Severo-Kurilsk,RU,2021-11-03 21:26:57,50.6789,156.125,36.63,79,50,3.51
89,Pacific Grove,US,2021-11-03 21:26:57,36.6177,-121.9166,79.61,71,1,5.01
90,Mahebourg,MU,2021-11-03 21:26:58,-20.4081,57.7,73.69,83,40,5.75
91,Reconquista,AR,2021-11-03 21:26:58,-29.15,-59.65,85.21,45,42,6.33
92,Verkhnevilyuysk,RU,2021-11-03 21:27:58,63.4453,120.3167,10.65,94,97,8.48
93,Xining,CN,2021-11-03 21:27:59,36.6167,101.7667,34.05,50,1,2.19
94,Eyl,SO,2021-11-03 21:27:59,7.9803,49.8164,77.86,78,100,8.16
95,Provideniya,RU,2021-11-03 21:28:00,64.3833,-173.3,11.39,81,100,12.53
96,Luderitz,NA,2021-11-03 21:28:00,-26.6481,15.1594,58.96,61,3,15.5
97,Dikson,RU,2021-11-03 21:28:00,73.5069,80.5464,14.86,93,71,8.1
98,Bonthe,SL,2021-11-03 21:28:01,7.5264,-12.505,79.18,82,53,4.9
99,Birao,CF,2021-11-03 21:28:02,10.2849,22.7882,78.37,44,77,2.66
100,Longyearbyen,SJ,2021-11-03 21:28:03,78.2186,15.6401,19.24,68,75,20.71
101,Cabo San Lucas,MX,2021-11-03 21:23:34,22.8909,-109.9124,89.51,58,0,6.62
102,Nabire,ID,2021-11-03 21:28:04,-3.3667,135.4833,75.49,92,73,3.06
103,Kapaa,US,2021-11-03 21:28:04,22.0752,-159.319,81.48,73,40,1.99
104,Ostrovnoy,RU,2021-11-03 21:28:04,68.0531,39.5131,37.81,92,95,25.68
105,Arraial Do Cabo,BR,2021-11-03 21:28:05,-22.9661,-42.0278,71.56,94,40,13.8
106,Oussouye,SN,2021-11-03 21:28:05,12.485,-16.5469,82.49,76,8,5.19
107,Mar Del Plata,AR,2021-11-03 21:24:00,-38.0023,-57.5575,64.42,99,40,8.99
108,College,US,2021-11-03 21:28:06,64.8569,-147.8028,35.58,90,75,0.0
109,Vasyshcheve,UA,2021-11-03 21:28:06,49.8285,36.3269,52.48,100,90,4.47
110,Sheltozero,RU,2021-11-03 21:28:07,61.3667,35.3667,41.29,90,87,15.21
111,Khandyga,RU,2021-11-03 21:28:07,62.6667,135.6,15.26,97,100,3.67
112,Souillac,MU,2021-11-03 21:28:08,-20.5167,57.5167,73.78,83,40,5.75
113,Devonport,AU,2021-11-03 21:28:08,-41.1667,146.35,57.09,88,48,6.24
114,Grindavik,IS,2021-11-03 21:28:09,63.8424,-22.4338,43.27,81,90,20.71
115,Kodinsk,RU,2021-11-03 21:28:09,58.6881,99.1844,7.63,89,100,8.43
116,Tuktoyaktuk,CA,2021-11-03 21:28:10,69.4541,-133.0374,19.4,93,75,8.05
117,Lata,PT,2021-11-03 21:28:10,40.1629,-8.3327,49.06,89,6,0.81
118,Sisimiut,GL,2021-11-03 21:28:11,66.9395,-53.6735,33.93,99,100,10.16
119,Touros,BR,2021-11-03 21:28:11,-5.1989,-35.4608,81.5,75,6,12.68
120,Tiarei,PF,2021-11-03 21:28:11,-17.5333,-149.3333,84.22,80,42,14.67
121,Laguna,US,2021-11-03 21:23:34,38.421,-121.4238,76.44,62,1,1.01
122,Port-Gentil,GA,2021-11-03 21:28:12,-0.7193,8.7815,78.76,89,40,9.22
123,Sao Filipe,CV,2021-11-03 21:28:12,14.8961,-24.4956,79.9,73,97,6.02
124,Woodstock,CA,2021-11-03 21:28:13,43.1334,-80.7497,42.03,84,95,9.53
125,Tigil,RU,2021-11-03 21:28:13,57.8,158.6667,30.27,89,44,15.86
126,Phatthalung,TH,2021-11-03 21:28:14,7.5,100.0833,76.01,92,100,7.85
127,Dauphin,CA,2021-11-03 21:28:14,51.1494,-100.0502,50.14,37,1,11.5
128,Santa Isabel Do Rio Negro,BR,2021-11-03 21:28:15,-0.4139,-65.0192,86.23,69,99,1.68
129,Alofi,NU,2021-11-03 21:28:15,-19.0595,-169.9187,82.29,74,75,11.5
130,Bonavista,CA,2021-11-03 21:28:15,48.6499,-53.1147,45.12,66,74,4.65
131,Rincon,US,2021-11-03 21:28:16,32.296,-81.2354,66.16,73,75,8.05
132,Kruisfontein,ZA,2021-11-03 21:28:16,-34.0033,24.7314,52.88,77,0,3.09
